ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
601988.SH,2026-03-05,5.31,5.4,5.29,5.39,5.35,0.04,0.7477,2496380.3,1338643.193
601988.SH,2026-03-06,5.37,5.42,5.35,5.39,5.39,0.0,0.0,1949472.76,1049580.787
601988.SH,2026-03-09,5.37,5.41,5.35,5.36,5.39,-0.03,-0.5566,2489436.16,1338798.814
601988.SH,2026-03-10,5.35,5.35,5.31,5.33,5.36,-0.03,-0.5597,2038706.11,1085779.417
601988.SH,2026-03-11,5.33,5.36,5.3,5.36,5.33,0.03,0.5629,1366548.18,728383.366
601988.SH,2026-03-12,5.35,5.38,5.33,5.37,5.36,0.01,0.1866,1642862.48,881262.505
601988.SH,2026-03-13,5.37,5.42,5.33,5.39,5.37,0.02,0.3724,2379957.58,1280639.45
601988.SH,2026-03-16,5.39,5.42,5.37,5.4,5.39,0.01,0.1855,2069248.8,1117120.525
601988.SH,2026-03-17,5.4,5.5,5.38,5.5,5.4,0.1,1.8519,3623887.76,1981976.896
601988.SH,2026-03-18,5.5,5.54,5.46,5.5,5.5,0.0,0.0,2981100.31,1638926.258
601988.SH,2026-03-19,5.48,5.56,5.48,5.53,5.5,0.03,0.5455,3565275.75,1971909.742
601988.SH,2026-03-20,5.52,5.58,5.49,5.51,5.53,-0.02,-0.3617,2593770.52,1436384.092
601988.SH,2026-03-23,5.49,5.5,5.32,5.39,5.51,-0.12,-2.1779,4331484.8,2331714.888
601988.SH,2026-03-24,5.38,5.49,5.37,5.47,5.39,0.08,1.4842,3009443.05,1637804.287
601988.SH,2026-03-25,5.46,5.55,5.38,5.55,5.47,0.08,1.4625,3172409.8,1738485.855
601988.SH,2026-03-26,5.53,5.6,5.52,5.58,5.55,0.03,0.5405,2750513.17,1534222.231
601988.SH,2026-03-27,5.57,5.6,5.56,5.57,5.58,-0.01,-0.1792,2174305.54,1212935.0
601988.SH,2026-03-30,5.55,5.68,5.55,5.67,5.57,0.1,1.7953,2896330.41,1632080.169
601988.SH,2026-03-31,5.67,5.91,5.67,5.87,5.67,0.2,3.5273,6522540.9,3811964.949
601988.SH,2026-04-01,5.89,5.95,5.85,5.87,5.87,0.0,0.0,3431892.69,2022103.026
601988.SH,2026-04-02,5.87,5.97,5.84,5.94,5.87,0.07,1.1925,2929241.88,1738174.185
601988.SH,2026-04-03,5.95,5.96,5.78,5.82,5.94,-0.12,-2.0202,2392149.89,1394574.302
